,r,g,b,dbins
67,0.0,1.3756280686498232,4.244135405839345,7.699999999999999
68,0.49445709683781214,0.4446398556521902,3.173755005567744,7.799999999999999
69,0.49424206542261406,1.284705027455662,4.337220249335946,7.899999999999999
70,0.0,1.0719941255127616,4.0938947261709835,7.999999999999998
71,0.0,1.1417160157093647,3.9552354792721167,8.099999999999998
72,0.0,1.1330986804327887,4.022080795028191,8.2
73,0.0,1.0510667625130976,3.7739754866527955,8.299999999999997
74,0.4939999285257449,1.1041431907298505,3.8692683872923572,8.399999999999999
75,0.0,1.656174073355557,5.039194488735004,8.499999999999996
76,0.0,1.6936838294359258,5.05381206810313,8.599999999999998
77,0.0,1.9920890115139338,5.086542055481152,8.7
78,0.0,2.0022192132886594,5.192217151799385,8.799999999999997
79,0.0,1.1093581168784383,5.184404096647299,8.899999999999999
80,0.4930704138617906,1.1045945789043483,5.262254491914199,8.999999999999996
81,0.0,0.9536113712254216,5.230538309511396,9.099999999999998
82,0.4943666186480002,2.0181366929922517,5.906920424425158,9.199999999999998
83,0.4937636383924544,1.9058802178188443,6.213889082063246,9.299999999999997
84,0.0,1.5131048560689262,6.009808508840173,9.399999999999999
85,0.0,1.1120295062172565,6.1758035911972,9.499999999999996
86,0.4950483852298331,1.7963379847896606,6.290742248461826,9.599999999999998
87,0.0,1.173147339552447,6.2651456386714015,9.699999999999996
88,0.0,0.49193513384613413,5.185014848931327,9.799999999999997
89,0.0,0.4938093847031176,5.214964535205963,9.899999999999999
90,0.0,0.4926066716484832,5.214095910473619,9.999999999999996
91,0.0,0.4896411566009428,5.122358719037835,10.099999999999998
92,0.0,0.49269679423964025,5.194896761551614,10.199999999999996
93,0.0,0.4866835908799819,6.33526108564036,10.299999999999997
94,0.0,0.4900578372908596,6.234517037550541,10.399999999999999
95,0.0,2.312302788255267,6.016215961448094,10.499999999999996
96,0.0,2.514336449719612,5.801474925222355,10.599999999999998
97,0.0,4.1695296568493365,7.382915284061855,10.699999999999996
98,0.0,3.9743779475276075,0.4549736494428031,10.799999999999997
99,0.0,3.862562617162594,6.657685202844595,10.899999999999999
100,0.0,1.388933727300324,7.167896277559297,10.999999999999996
